Timestamp,CPU %,RAM %,Disk %,Upload KB/s,Download KB/s,Battery %
2025-09-20 08:33:38,7.9,61.4,10.4,9198,49198,60
2025-09-20 08:33:39,8.0,61.4,10.4,9198,49201,60
2025-09-20 08:33:40,8.5,61.4,10.4,9198,49207,60
2025-09-20 08:33:42,6.9,61.4,10.4,9199,49210,60
2025-09-20 08:33:43,19.0,61.4,10.4,9199,49214,60
2025-09-20 08:33:45,19.8,61.2,10.4,9199,49218,60
2025-09-20 08:33:46,20.2,61.3,10.4,9199,49222,60
2025-09-20 08:33:48,9.6,61.3,10.4,9199,49226,60
2025-09-20 08:33:49,6.1,61.3,10.4,9199,49231,60
2025-09-20 08:33:50,5.6,61.3,10.4,9199,49234,60
2025-09-20 08:33:52,5.2,61.3,10.4,9199,49238,60
2025-09-20 08:33:53,6.1,61.3,10.4,9199,49242,60
2025-09-20 08:33:55,5.0,61.3,10.4,9200,49246,60
2025-09-20 08:33:56,6.3,61.3,10.4,9200,49250,60
2025-09-20 08:33:58,5.8,61.3,10.4,9200,49254,60
2025-09-20 08:33:59,6.1,61.3,10.4,9200,49259,60
2025-09-20 08:34:00,6.1,61.3,10.4,9200,49263,60
2025-09-20 08:34:02,6.9,61.2,10.4,9200,49268,60
2025-09-20 08:34:03,6.4,61.3,10.4,9200,49270,60
2025-09-20 08:34:05,11.7,61.2,10.4,9200,49276,59
2025-09-20 08:34:06,6.9,61.2,10.4,9200,49278,59
2025-09-20 08:34:07,7.1,61.2,10.4,9201,49284,59
2025-09-20 08:34:09,20.0,61.2,10.4,9206,49292,59
2025-09-20 08:34:10,21.0,61.3,10.4,9206,49298,59
2025-09-20 08:34:12,17.6,61.2,10.4,9206,49301,59
2025-09-20 08:34:13,11.5,61.3,10.4,9207,49306,59
2025-09-20 08:34:15,6.6,61.2,10.4,9207,49309,59
2025-09-20 08:34:16,12.5,61.3,10.4,9207,49314,59
2025-09-20 08:34:17,6.1,61.3,10.4,9207,49318,59
2025-09-20 08:34:19,6.4,61.3,10.4,9207,49321,59
2025-09-20 08:34:20,8.5,61.3,10.4,9208,49327,59
2025-09-20 08:34:22,7.8,61.3,10.4,9208,49330,59
2025-09-20 08:34:23,7.5,61.3,10.4,9208,49335,59
Timestamp,CPU %,RAM %,Disk %,Upload KB/s,Download KB/s,Battery %
2025-09-20 11:30:38,18.8,66.3,10.4,16290,175053,94
2025-09-20 11:30:40,18.7,66.3,10.4,16299,175065,94
2025-09-20 11:30:41,21.1,66.0,10.4,16315,175082,94
2025-09-20 11:30:43,7.7,66.0,10.4,16315,175087,94
2025-09-20 11:30:44,46.8,65.9,10.4,16320,175691,94
2025-09-20 11:30:46,30.6,66.2,10.4,16323,175698,94
2025-09-20 11:30:47,16.1,66.2,10.4,16323,175703,94
2025-09-20 11:30:49,15.9,66.2,10.4,16330,175708,94
